Month,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August
Attributes,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total
Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madras Gram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,98,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,32,0,16,1,0,32,0,32,0,0,0,0,0,1,0,30,0,30
Toilet Cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,11.9,78,0,1,39,5.95,39,0,1,80,12.2,80,0,0,0,0,0
Jaggery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,30,0,0,0,0,0,0,1,30,0,30
Pappad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.5,0,48.5,0,0,0,0,0,0,0,0,0,0
Maida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,64,0,0,0,0,0,0,0,0,0,0
Cashew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,5.14,108,0,0,0,0,0,0,0,0,0,0
Bath Soap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,9,59,0,0,0,0,0,0,0,0,0,0
Decicated Coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,55,0,0,0,0,0,0,0,0,0,0
Dried Green Pea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,58,0,29
